id;customer_name;customer_code;marketing_name;is_active;created_at;updated_at
185;SKK kaken;SK65;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
186;Trimitra Indoplast;TI01;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
187;PT Yanmar;Y86;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
188;Primacorr Mandiri;PM64;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
189;Riau Andalan Paperboard International;RAPI01;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
190;PT Samudera Logistics Services;SLS07;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
191;PT Tirta Sukses Perkasa;TSP34;TATA;1;17/02/2026 18:08;17/02/2026 18:08
192;PT Phoenix Resources International;PRI31;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
193;PT Java Seafood;JS20;TATA;1;17/02/2026 18:08;17/02/2026 18:08
194;PT SNF Polymers Indonesia;SPI33;TATA;1;17/02/2026 18:08;17/02/2026 18:08
195;PT Reckitt Benckiser Cileungsi;RBC01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
196;PT Sumber Niaga Industri;SNI01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
197;PT Wira Insani;WIN01;DEIS;1;17/02/2026 18:14;17/02/2026 18:14
198;PT Indoblock Mitra Lestari Indonesia;IML01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
199;PT Ultra Prima Abadi;UPA01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
200;PT Sains Logistics;SAL01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
201;PT Kokoh Inti Arebama;KIA01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
202;PT Flora Food Manufacturing;FFM01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
203;PT Indonesia Steel Tube;IST01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
204;PT Kadaka;KDK01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
205;PT KKM Karawaci;KKM01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
206;PT Perfetti Van Melle Indonesia;PVM01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
207;PT Bima Inti Kertas;BIK01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
208;PT Griya Mandiri Perkasa;GMP01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
209;PT Indoris Printing Indonesia;IDP01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
210;PT M-I Production;MIP01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
211;PT Okamoto Logistics Nusantara;OLN01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
212;PT Papcor Asia Pacific;PAP01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
213;PT Saint Gobain Trading Indonesia;SGT01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
214;PT Selaras Donlim Indonesia;SDL01;TATA;1;17/02/2026 18:14;17/02/2026 18:14
215;PT Ultra Prima Plast;UPP01;TATA;1;17/02/2026 19:24;17/02/2026 19:24
216;PT Saitama Stamping Indonesia;SSI01;TATA;1;17/02/2026 19:24;17/02/2026 19:24
217;PT Taco Anugrah Corporindo;TAC01;TATA;1;17/02/2026 19:24;17/02/2026 19:24
218;PT Wahana Citra Nabati;WCN01;DEIS;1;17/02/2026 19:24;17/02/2026 19:24
219;Pindo Deli Pulp and Paper;PDPP01;DEIS;1;17/02/2026 20:53;17/02/2026 20:53
220;PT LASTANA EXPRESS INDONESIA;LEI01;TATA;1;17/02/2026 20:53;17/02/2026 20:53
221;PT LX Phantos Jakarta;LXPH01;TATA;1;17/02/2026 20:53;17/02/2026 20:53
222;Yoowon Electronics Jababeka;YOOW01;TATA;1;17/02/2026 20:53;17/02/2026 20:53
