unit_id;no_unit;nama_customer;customer_id;lokasi_db;lokasi_mentah;merk;model;tipe;kapasitas;tahun;nomor_po;no_kontrak;awal_kontrak;akhir_kontrak;harga;sumber_data
4512;5612;Papandayan;165;"Plant Bandung";MENGGER;HELI;CPD38-GB2LI-M;ELECTRIC;;2025;4504774699-GL1;"Service Agreement 01 Maret 2025";2025-06-09;1930-05-31;12400000;"Marketing, Service, Acc"
4513;5613;Papandayan;165;"Plant Bandung";MENGGER;HELI;CPD38-GB2LI-M;ELECTRIC;;2025;4504774699-GL1;"Service Agreement 01 Maret 2025";2025-06-09;1930-05-31;12400000;"Marketing, Service, Acc"
4086;5186;Papandayan;165;"Plant Bandung";MENGGER;HELI;CPD38-GB2LI-M;ELECTRIC;;2024;4504774696-GL1;"Service Agreement 01 Maret 2025";2025-05-19;1930-05-31;12400000;"Marketing, Service, Acc"
4062;5162;Papandayan;165;"Plant Bandung";84;HELI;CPD25-GB2LI-M;ELECTRIC;2.5;2024;4504774696-GL1;"Service Agreement 01 Maret 2025";2025-03-01;1930-05-31;10100000;"Marketing, Service, Acc"
4439;5539;Papandayan;165;"Plant Bandung";84;HELI;CPD25-GB2LI-M;ELECTRIC;2.5;2024;4504774696-GL1;"Service Agreement 01 Maret 2025";2025-03-01;1930-05-31;10100000;"Marketing, Service, Acc"
2896;2996;"Senopati Fuji Trans";195;"Gudang Deltamas";Deltamas;HELI;CPD25;ELECTRIC;;2022;;059/SENFU-SML/ADD/V/VII;2025-09-01;2026-03-01;11350000;"Marketing, Service, Acc"
2899;2999;"Senopati Fuji Trans";195;"Gudang Deltamas";Deltamas;HELI;CPD35;ELECTRIC;;2022;;059/SENFU-SML/ADD/V/VII;2025-09-01;2026-03-01;15850000;"Marketing, Service, Acc"
3199;3299;"Senopati Fuji Trans";195;"Gudang Deltamas";Deltamas;HELI;CPD25;ELECTRIC;;2022;;059/SENFU-SML/ADD/V/VII;2025-09-01;2026-03-01;11350000;"Marketing, Service, Acc"
2895;2995;"Senopati Fuji Trans";195;"Gudang Deltamas";Deltamas;HELI;CPD25;ELECTRIC;;2022;;059/SENFU-SML/ADD/V/VII;2025-09-01;2026-03-01;11350000;"Marketing, Service, Acc"
4564;5664;"Senopati Fuji Trans";195;"Gudang Deltamas";Deltamas;HELI;CPD35-GB6LI-S;ELECTRIC;;2025;;059/SENFU-SML/ADD/V/VII/2025;2025-09-01;2026-03-01;14500000;"Marketing, Service"
2897;2997;"Senopati Fuji Trans";195;"Gudang Deltamas";Deltamas;HELI;CPD25;ELECTRIC;;2022;;059/SENFU-SML/ADD/V/VII;2025-09-01;2026-03-01;11350000;"Marketing, Service, Acc"
4500;5600;"Astro Technologies Indonesia";13;"Cabang Sentul";"WH Sentul";JUNGHEINRICH;"ETV MC320-1150-10520DZ";ELECTRIC;;2025;ID1/POR/25050000002386;"119/LEGASTRO/OPS/VII/2025 Add 1";2025-04-30;2026-05-29;15500000;"Marketing, Service, Acc"
4501;5601;"Astro Technologies Indonesia";13;"Cabang Sentul";"WH Sentul";JUNGHEINRICH;"ETV MC320-1150-10520DZ";ELECTRIC;;2025;ID1/POR/25050000002386;"119/LEGASTRO/OPS/VII/2025 Add 1";2025-04-30;2026-05-29;15500000;"Marketing, Service, Acc"
4549;5649;"Astro Technologies Indonesia";13;"Cabang Sentul";"WH Sentul";JUNGHEINRICH;ETVMB216-1150-9020DZ;ELECTRIC;;2025;ID1/POR/25050000000164;"119/LEGASTRO/OPS/VII/2025 Add 1";2025-05-11;2026-05-10;15000000;"Marketing, Service, Acc"
4560;5660;"Astro Technologies Indonesia";13;"Cabang Sentul";"WH Sentul";JUNGHEINRICH;ETVMB216-1150-9020DZ;ELECTRIC;;2025;ID1/POR/25050000006415;"119/LEGASTRO/OPS/VII/2025 Add 1";2025-05-21;2026-05-20;15000000;"Marketing, Service, Acc"
4561;5661;"Astro Technologies Indonesia";13;"Cabang Sentul";"WH Sentul";JUNGHEINRICH;ETVMB216-1150-9020DZ;ELECTRIC;;2025;ID1/POR/25050000006415;"119/LEGASTRO/OPS/VII/2025 Add 1";2025-05-21;2026-05-20;15000000;"Marketing, Service, Acc"
4562;5662;"Astro Technologies Indonesia";13;"Cabang Sentul";"WH Sentul";JUNGHEINRICH;ETVMB216-1150-9020DZ;ELECTRIC;;2025;ID1/POR/25050000006415;"119/LEGASTRO/OPS/VII/2025 Add 1";2025-05-21;2026-05-20;15000000;"Marketing, Service, Acc"
